accuracy,model,seed,fold,n_test
0.6842105263157895,abl_audio+handcrafted,42,0,38
0.17647058823529413,abl_audio+handcrafted,42,1,17
0.75,abl_audio+handcrafted,42,2,20
0.5294117647058824,abl_audio+handcrafted,42,3,17
1.0,abl_audio+handcrafted,42,4,6
0.8,abl_audio+handcrafted,42,5,15
0.94,abl_audio+handcrafted,42,6,50
1.0,abl_audio+handcrafted,42,7,50
0.94,abl_audio+handcrafted,42,8,50
0.5666666666666667,abl_audio+handcrafted,42,9,30
1.0,abl_audio+handcrafted,42,10,48
1.0,abl_audio+handcrafted,42,11,30
1.0,abl_audio+handcrafted,42,12,30
0.98,abl_audio+handcrafted,42,13,50
0.94,abl_audio+handcrafted,42,14,50
1.0,abl_audio+handcrafted,42,15,30
1.0,abl_audio+handcrafted,42,16,50
0.6666666666666666,abl_audio+handcrafted,42,17,45
0.7291666666666666,abl_audio+handcrafted,42,18,48
1.0,abl_audio+handcrafted,42,19,20
0.7777777777777778,abl_audio+handcrafted,42,20,36
0.6565096952908587,abl_audio+handcrafted,42,21,361
0.6578947368421053,abl_audio+handcrafted,7,0,38
0.058823529411764705,abl_audio+handcrafted,7,1,17
0.95,abl_audio+handcrafted,7,2,20
0.23529411764705882,abl_audio+handcrafted,7,3,17
1.0,abl_audio+handcrafted,7,4,6
0.8,abl_audio+handcrafted,7,5,15
0.56,abl_audio+handcrafted,7,6,50
0.98,abl_audio+handcrafted,7,7,50
0.42,abl_audio+handcrafted,7,8,50
1.0,abl_audio+handcrafted,7,9,30
1.0,abl_audio+handcrafted,7,10,48
1.0,abl_audio+handcrafted,7,11,30
0.9666666666666667,abl_audio+handcrafted,7,12,30
0.72,abl_audio+handcrafted,7,13,50
0.86,abl_audio+handcrafted,7,14,50
0.8333333333333334,abl_audio+handcrafted,7,15,30
0.64,abl_audio+handcrafted,7,16,50
0.9333333333333333,abl_audio+handcrafted,7,17,45
0.8541666666666666,abl_audio+handcrafted,7,18,48
1.0,abl_audio+handcrafted,7,19,20
0.9722222222222222,abl_audio+handcrafted,7,20,36
0.7590027700831025,abl_audio+handcrafted,7,21,361
0.8421052631578947,abl_audio+handcrafted,123,0,38
0.0,abl_audio+handcrafted,123,1,17
0.45,abl_audio+handcrafted,123,2,20
0.11764705882352941,abl_audio+handcrafted,123,3,17
1.0,abl_audio+handcrafted,123,4,6
0.8,abl_audio+handcrafted,123,5,15
0.98,abl_audio+handcrafted,123,6,50
1.0,abl_audio+handcrafted,123,7,50
0.34,abl_audio+handcrafted,123,8,50
0.9333333333333333,abl_audio+handcrafted,123,9,30
1.0,abl_audio+handcrafted,123,10,48
1.0,abl_audio+handcrafted,123,11,30
1.0,abl_audio+handcrafted,123,12,30
0.98,abl_audio+handcrafted,123,13,50
0.84,abl_audio+handcrafted,123,14,50
1.0,abl_audio+handcrafted,123,15,30
1.0,abl_audio+handcrafted,123,16,50
0.9333333333333333,abl_audio+handcrafted,123,17,45
0.7916666666666666,abl_audio+handcrafted,123,18,48
1.0,abl_audio+handcrafted,123,19,20
0.9444444444444444,abl_audio+handcrafted,123,20,36
0.556786703601108,abl_audio+handcrafted,123,21,361
