accuracy,model,seed,fold,n_test
0.8157894736842105,abl_audio+text,42,0,38
0.5294117647058824,abl_audio+text,42,1,17
0.65,abl_audio+text,42,2,20
0.47058823529411764,abl_audio+text,42,3,17
0.8333333333333334,abl_audio+text,42,4,6
0.8,abl_audio+text,42,5,15
0.98,abl_audio+text,42,6,50
0.96,abl_audio+text,42,7,50
0.98,abl_audio+text,42,8,50
0.9666666666666667,abl_audio+text,42,9,30
0.875,abl_audio+text,42,10,48
0.9,abl_audio+text,42,11,30
1.0,abl_audio+text,42,12,30
0.96,abl_audio+text,42,13,50
0.9,abl_audio+text,42,14,50
1.0,abl_audio+text,42,15,30
1.0,abl_audio+text,42,16,50
0.5777777777777777,abl_audio+text,42,17,45
0.9583333333333334,abl_audio+text,42,18,48
1.0,abl_audio+text,42,19,20
1.0,abl_audio+text,42,20,36
0.592797783933518,abl_audio+text,42,21,361
0.5263157894736842,abl_audio+text,7,0,38
0.8235294117647058,abl_audio+text,7,1,17
0.5,abl_audio+text,7,2,20
0.8235294117647058,abl_audio+text,7,3,17
0.6666666666666666,abl_audio+text,7,4,6
1.0,abl_audio+text,7,5,15
0.98,abl_audio+text,7,6,50
0.96,abl_audio+text,7,7,50
0.82,abl_audio+text,7,8,50
0.9666666666666667,abl_audio+text,7,9,30
0.9791666666666666,abl_audio+text,7,10,48
0.8666666666666667,abl_audio+text,7,11,30
1.0,abl_audio+text,7,12,30
0.96,abl_audio+text,7,13,50
1.0,abl_audio+text,7,14,50
1.0,abl_audio+text,7,15,30
1.0,abl_audio+text,7,16,50
0.8444444444444444,abl_audio+text,7,17,45
1.0,abl_audio+text,7,18,48
1.0,abl_audio+text,7,19,20
0.9722222222222222,abl_audio+text,7,20,36
0.8310249307479224,abl_audio+text,7,21,361
0.7894736842105263,abl_audio+text,123,0,38
0.9411764705882353,abl_audio+text,123,1,17
0.8,abl_audio+text,123,2,20
0.5882352941176471,abl_audio+text,123,3,17
0.6666666666666666,abl_audio+text,123,4,6
1.0,abl_audio+text,123,5,15
1.0,abl_audio+text,123,6,50
0.84,abl_audio+text,123,7,50
0.94,abl_audio+text,123,8,50
1.0,abl_audio+text,123,9,30
0.9791666666666666,abl_audio+text,123,10,48
0.9666666666666667,abl_audio+text,123,11,30
1.0,abl_audio+text,123,12,30
0.88,abl_audio+text,123,13,50
1.0,abl_audio+text,123,14,50
0.9666666666666667,abl_audio+text,123,15,30
1.0,abl_audio+text,123,16,50
0.8444444444444444,abl_audio+text,123,17,45
1.0,abl_audio+text,123,18,48
0.95,abl_audio+text,123,19,20
1.0,abl_audio+text,123,20,36
0.8310249307479224,abl_audio+text,123,21,361
