accuracy,model,seed,fold,n_test
0.5263157894736842,abl_audio_only,42,0,38
0.5882352941176471,abl_audio_only,42,1,17
0.55,abl_audio_only,42,2,20
0.5882352941176471,abl_audio_only,42,3,17
0.8333333333333334,abl_audio_only,42,4,6
1.0,abl_audio_only,42,5,15
1.0,abl_audio_only,42,6,50
0.92,abl_audio_only,42,7,50
0.84,abl_audio_only,42,8,50
0.9333333333333333,abl_audio_only,42,9,30
1.0,abl_audio_only,42,10,48
1.0,abl_audio_only,42,11,30
1.0,abl_audio_only,42,12,30
1.0,abl_audio_only,42,13,50
1.0,abl_audio_only,42,14,50
0.9,abl_audio_only,42,15,30
1.0,abl_audio_only,42,16,50
0.8888888888888888,abl_audio_only,42,17,45
1.0,abl_audio_only,42,18,48
1.0,abl_audio_only,42,19,20
1.0,abl_audio_only,42,20,36
0.8282548476454293,abl_audio_only,42,21,361
0.47368421052631576,abl_audio_only,7,0,38
0.8823529411764706,abl_audio_only,7,1,17
0.9,abl_audio_only,7,2,20
0.8823529411764706,abl_audio_only,7,3,17
1.0,abl_audio_only,7,4,6
1.0,abl_audio_only,7,5,15
1.0,abl_audio_only,7,6,50
0.98,abl_audio_only,7,7,50
0.98,abl_audio_only,7,8,50
0.9333333333333333,abl_audio_only,7,9,30
1.0,abl_audio_only,7,10,48
1.0,abl_audio_only,7,11,30
1.0,abl_audio_only,7,12,30
1.0,abl_audio_only,7,13,50
1.0,abl_audio_only,7,14,50
1.0,abl_audio_only,7,15,30
1.0,abl_audio_only,7,16,50
0.7111111111111111,abl_audio_only,7,17,45
1.0,abl_audio_only,7,18,48
1.0,abl_audio_only,7,19,20
1.0,abl_audio_only,7,20,36
0.817174515235457,abl_audio_only,7,21,361
0.8421052631578947,abl_audio_only,123,0,38
0.8235294117647058,abl_audio_only,123,1,17
0.7,abl_audio_only,123,2,20
0.7647058823529411,abl_audio_only,123,3,17
0.8333333333333334,abl_audio_only,123,4,6
1.0,abl_audio_only,123,5,15
1.0,abl_audio_only,123,6,50
0.98,abl_audio_only,123,7,50
0.96,abl_audio_only,123,8,50
0.9333333333333333,abl_audio_only,123,9,30
1.0,abl_audio_only,123,10,48
1.0,abl_audio_only,123,11,30
1.0,abl_audio_only,123,12,30
1.0,abl_audio_only,123,13,50
1.0,abl_audio_only,123,14,50
1.0,abl_audio_only,123,15,30
1.0,abl_audio_only,123,16,50
0.9111111111111111,abl_audio_only,123,17,45
1.0,abl_audio_only,123,18,48
1.0,abl_audio_only,123,19,20
1.0,abl_audio_only,123,20,36
0.8033240997229917,abl_audio_only,123,21,361
