accuracy,model,seed,fold,n_test
0.07894736842105263,abl_full,42,0,38
0.7058823529411765,abl_full,42,1,17
0.75,abl_full,42,2,20
0.17647058823529413,abl_full,42,3,17
1.0,abl_full,42,4,6
1.0,abl_full,42,5,15
0.98,abl_full,42,6,50
0.92,abl_full,42,7,50
0.62,abl_full,42,8,50
0.6333333333333333,abl_full,42,9,30
1.0,abl_full,42,10,48
1.0,abl_full,42,11,30
1.0,abl_full,42,12,30
1.0,abl_full,42,13,50
0.96,abl_full,42,14,50
1.0,abl_full,42,15,30
1.0,abl_full,42,16,50
0.9555555555555556,abl_full,42,17,45
0.7291666666666666,abl_full,42,18,48
1.0,abl_full,42,19,20
0.9166666666666666,abl_full,42,20,36
0.7423822714681441,abl_full,42,21,361
0.6842105263157895,abl_full,7,0,38
0.8235294117647058,abl_full,7,1,17
0.85,abl_full,7,2,20
0.29411764705882354,abl_full,7,3,17
1.0,abl_full,7,4,6
1.0,abl_full,7,5,15
1.0,abl_full,7,6,50
0.84,abl_full,7,7,50
0.4,abl_full,7,8,50
0.9666666666666667,abl_full,7,9,30
1.0,abl_full,7,10,48
1.0,abl_full,7,11,30
0.9,abl_full,7,12,30
0.96,abl_full,7,13,50
0.72,abl_full,7,14,50
1.0,abl_full,7,15,30
1.0,abl_full,7,16,50
0.8666666666666667,abl_full,7,17,45
0.8541666666666666,abl_full,7,18,48
0.95,abl_full,7,19,20
0.7777777777777778,abl_full,7,20,36
0.6731301939058172,abl_full,7,21,361
0.8421052631578947,abl_full,123,0,38
0.0,abl_full,123,1,17
0.55,abl_full,123,2,20
0.29411764705882354,abl_full,123,3,17
1.0,abl_full,123,4,6
1.0,abl_full,123,5,15
0.96,abl_full,123,6,50
0.98,abl_full,123,7,50
0.44,abl_full,123,8,50
0.7333333333333333,abl_full,123,9,30
1.0,abl_full,123,10,48
1.0,abl_full,123,11,30
1.0,abl_full,123,12,30
0.82,abl_full,123,13,50
0.58,abl_full,123,14,50
1.0,abl_full,123,15,30
1.0,abl_full,123,16,50
0.7555555555555555,abl_full,123,17,45
0.7083333333333334,abl_full,123,18,48
0.95,abl_full,123,19,20
0.7777777777777778,abl_full,123,20,36
0.5207756232686981,abl_full,123,21,361
