accuracy,model,seed,fold,n_test
0.8157894736842105,abl_handcrafted_only,42,0,38
0.47058823529411764,abl_handcrafted_only,42,1,17
0.55,abl_handcrafted_only,42,2,20
0.11764705882352941,abl_handcrafted_only,42,3,17
1.0,abl_handcrafted_only,42,4,6
0.4,abl_handcrafted_only,42,5,15
0.66,abl_handcrafted_only,42,6,50
1.0,abl_handcrafted_only,42,7,50
0.72,abl_handcrafted_only,42,8,50
0.9,abl_handcrafted_only,42,9,30
1.0,abl_handcrafted_only,42,10,48
1.0,abl_handcrafted_only,42,11,30
1.0,abl_handcrafted_only,42,12,30
0.92,abl_handcrafted_only,42,13,50
0.62,abl_handcrafted_only,42,14,50
0.9333333333333333,abl_handcrafted_only,42,15,30
1.0,abl_handcrafted_only,42,16,50
0.6444444444444445,abl_handcrafted_only,42,17,45
0.3958333333333333,abl_handcrafted_only,42,18,48
0.8,abl_handcrafted_only,42,19,20
0.5555555555555556,abl_handcrafted_only,42,20,36
0.8088642659279779,abl_handcrafted_only,42,21,361
0.5789473684210527,abl_handcrafted_only,7,0,38
0.7058823529411765,abl_handcrafted_only,7,1,17
0.75,abl_handcrafted_only,7,2,20
0.29411764705882354,abl_handcrafted_only,7,3,17
1.0,abl_handcrafted_only,7,4,6
0.8,abl_handcrafted_only,7,5,15
0.46,abl_handcrafted_only,7,6,50
0.7,abl_handcrafted_only,7,7,50
0.62,abl_handcrafted_only,7,8,50
1.0,abl_handcrafted_only,7,9,30
0.8958333333333334,abl_handcrafted_only,7,10,48
0.9,abl_handcrafted_only,7,11,30
1.0,abl_handcrafted_only,7,12,30
0.62,abl_handcrafted_only,7,13,50
0.52,abl_handcrafted_only,7,14,50
0.7666666666666667,abl_handcrafted_only,7,15,30
0.6,abl_handcrafted_only,7,16,50
0.7333333333333333,abl_handcrafted_only,7,17,45
0.4791666666666667,abl_handcrafted_only,7,18,48
0.95,abl_handcrafted_only,7,19,20
0.4444444444444444,abl_handcrafted_only,7,20,36
0.775623268698061,abl_handcrafted_only,7,21,361
0.8421052631578947,abl_handcrafted_only,123,0,38
0.7647058823529411,abl_handcrafted_only,123,1,17
0.8,abl_handcrafted_only,123,2,20
0.17647058823529413,abl_handcrafted_only,123,3,17
1.0,abl_handcrafted_only,123,4,6
0.8,abl_handcrafted_only,123,5,15
0.5,abl_handcrafted_only,123,6,50
0.86,abl_handcrafted_only,123,7,50
0.34,abl_handcrafted_only,123,8,50
0.9666666666666667,abl_handcrafted_only,123,9,30
1.0,abl_handcrafted_only,123,10,48
1.0,abl_handcrafted_only,123,11,30
1.0,abl_handcrafted_only,123,12,30
0.9,abl_handcrafted_only,123,13,50
0.24,abl_handcrafted_only,123,14,50
0.9666666666666667,abl_handcrafted_only,123,15,30
0.98,abl_handcrafted_only,123,16,50
0.8222222222222222,abl_handcrafted_only,123,17,45
0.3958333333333333,abl_handcrafted_only,123,18,48
0.9,abl_handcrafted_only,123,19,20
0.8611111111111112,abl_handcrafted_only,123,20,36
0.6454293628808865,abl_handcrafted_only,123,21,361
