accuracy,model,seed,fold,n_test
0.9473684210526315,abl_text_only,42,0,38
0.8235294117647058,abl_text_only,42,1,17
0.45,abl_text_only,42,2,20
0.9411764705882353,abl_text_only,42,3,17
0.3333333333333333,abl_text_only,42,4,6
0.6,abl_text_only,42,5,15
0.78,abl_text_only,42,6,50
0.28,abl_text_only,42,7,50
0.7,abl_text_only,42,8,50
0.8666666666666667,abl_text_only,42,9,30
0.8541666666666666,abl_text_only,42,10,48
0.36666666666666664,abl_text_only,42,11,30
0.23333333333333334,abl_text_only,42,12,30
0.74,abl_text_only,42,13,50
0.8,abl_text_only,42,14,50
0.7666666666666667,abl_text_only,42,15,30
0.82,abl_text_only,42,16,50
0.37777777777777777,abl_text_only,42,17,45
0.9166666666666666,abl_text_only,42,18,48
0.45,abl_text_only,42,19,20
0.7222222222222222,abl_text_only,42,20,36
0.6537396121883656,abl_text_only,42,21,361
0.8947368421052632,abl_text_only,7,0,38
0.9411764705882353,abl_text_only,7,1,17
0.8,abl_text_only,7,2,20
0.8823529411764706,abl_text_only,7,3,17
0.6666666666666666,abl_text_only,7,4,6
0.8666666666666667,abl_text_only,7,5,15
0.72,abl_text_only,7,6,50
0.26,abl_text_only,7,7,50
0.88,abl_text_only,7,8,50
1.0,abl_text_only,7,9,30
0.875,abl_text_only,7,10,48
0.13333333333333333,abl_text_only,7,11,30
0.5333333333333333,abl_text_only,7,12,30
0.52,abl_text_only,7,13,50
0.74,abl_text_only,7,14,50
0.6333333333333333,abl_text_only,7,15,30
0.96,abl_text_only,7,16,50
0.6666666666666666,abl_text_only,7,17,45
0.75,abl_text_only,7,18,48
0.45,abl_text_only,7,19,20
0.8611111111111112,abl_text_only,7,20,36
0.6038781163434903,abl_text_only,7,21,361
0.9210526315789473,abl_text_only,123,0,38
0.8235294117647058,abl_text_only,123,1,17
0.75,abl_text_only,123,2,20
0.8823529411764706,abl_text_only,123,3,17
0.6666666666666666,abl_text_only,123,4,6
0.8666666666666667,abl_text_only,123,5,15
0.8,abl_text_only,123,6,50
0.44,abl_text_only,123,7,50
0.94,abl_text_only,123,8,50
0.9666666666666667,abl_text_only,123,9,30
0.9375,abl_text_only,123,10,48
0.4666666666666667,abl_text_only,123,11,30
0.8333333333333334,abl_text_only,123,12,30
0.86,abl_text_only,123,13,50
0.4,abl_text_only,123,14,50
0.7333333333333333,abl_text_only,123,15,30
0.82,abl_text_only,123,16,50
0.37777777777777777,abl_text_only,123,17,45
0.8958333333333334,abl_text_only,123,18,48
0.5,abl_text_only,123,19,20
0.8333333333333334,abl_text_only,123,20,36
0.7811634349030471,abl_text_only,123,21,361
