accuracy,model,seed,fold,n_test
0.631578947368421,fusion_concat,42,0,38
0.8235294117647058,fusion_concat,42,1,17
0.55,fusion_concat,42,2,20
0.7647058823529411,fusion_concat,42,3,17
0.8333333333333334,fusion_concat,42,4,6
1.0,fusion_concat,42,5,15
0.92,fusion_concat,42,6,50
0.98,fusion_concat,42,7,50
0.92,fusion_concat,42,8,50
0.7666666666666667,fusion_concat,42,9,30
1.0,fusion_concat,42,10,48
1.0,fusion_concat,42,11,30
1.0,fusion_concat,42,12,30
1.0,fusion_concat,42,13,50
1.0,fusion_concat,42,14,50
1.0,fusion_concat,42,15,30
1.0,fusion_concat,42,16,50
0.7333333333333333,fusion_concat,42,17,45
0.9375,fusion_concat,42,18,48
1.0,fusion_concat,42,19,20
0.9722222222222222,fusion_concat,42,20,36
0.49584487534626037,fusion_concat,42,21,361
0.34210526315789475,fusion_concat,7,0,38
0.5294117647058824,fusion_concat,7,1,17
0.55,fusion_concat,7,2,20
0.11764705882352941,fusion_concat,7,3,17
0.8333333333333334,fusion_concat,7,4,6
0.9333333333333333,fusion_concat,7,5,15
1.0,fusion_concat,7,6,50
0.98,fusion_concat,7,7,50
1.0,fusion_concat,7,8,50
0.9666666666666667,fusion_concat,7,9,30
1.0,fusion_concat,7,10,48
0.9333333333333333,fusion_concat,7,11,30
1.0,fusion_concat,7,12,30
0.96,fusion_concat,7,13,50
0.86,fusion_concat,7,14,50
1.0,fusion_concat,7,15,30
0.94,fusion_concat,7,16,50
0.8444444444444444,fusion_concat,7,17,45
1.0,fusion_concat,7,18,48
0.9,fusion_concat,7,19,20
1.0,fusion_concat,7,20,36
0.8698060941828255,fusion_concat,7,21,361
0.5526315789473685,fusion_concat,123,0,38
0.7058823529411765,fusion_concat,123,1,17
0.7,fusion_concat,123,2,20
0.6470588235294118,fusion_concat,123,3,17
1.0,fusion_concat,123,4,6
1.0,fusion_concat,123,5,15
0.96,fusion_concat,123,6,50
0.96,fusion_concat,123,7,50
0.98,fusion_concat,123,8,50
0.9666666666666667,fusion_concat,123,9,30
1.0,fusion_concat,123,10,48
0.9666666666666667,fusion_concat,123,11,30
1.0,fusion_concat,123,12,30
0.96,fusion_concat,123,13,50
1.0,fusion_concat,123,14,50
1.0,fusion_concat,123,15,30
1.0,fusion_concat,123,16,50
0.9333333333333333,fusion_concat,123,17,45
0.9791666666666666,fusion_concat,123,18,48
1.0,fusion_concat,123,19,20
1.0,fusion_concat,123,20,36
0.7146814404432132,fusion_concat,123,21,361
