accuracy,model,seed,fold,n_test
0.2894736842105263,fusion_gated,42,0,38
0.7058823529411765,fusion_gated,42,1,17
0.65,fusion_gated,42,2,20
0.7647058823529411,fusion_gated,42,3,17
1.0,fusion_gated,42,4,6
0.4666666666666667,fusion_gated,42,5,15
0.82,fusion_gated,42,6,50
0.96,fusion_gated,42,7,50
0.84,fusion_gated,42,8,50
1.0,fusion_gated,42,9,30
1.0,fusion_gated,42,10,48
1.0,fusion_gated,42,11,30
0.26666666666666666,fusion_gated,42,12,30
0.4,fusion_gated,42,13,50
0.62,fusion_gated,42,14,50
1.0,fusion_gated,42,15,30
1.0,fusion_gated,42,16,50
0.9111111111111111,fusion_gated,42,17,45
0.8125,fusion_gated,42,18,48
1.0,fusion_gated,42,19,20
1.0,fusion_gated,42,20,36
0.6371191135734072,fusion_gated,42,21,361
0.5526315789473685,fusion_gated,7,0,38
0.9411764705882353,fusion_gated,7,1,17
0.75,fusion_gated,7,2,20
0.7058823529411765,fusion_gated,7,3,17
1.0,fusion_gated,7,4,6
1.0,fusion_gated,7,5,15
0.96,fusion_gated,7,6,50
0.6,fusion_gated,7,7,50
1.0,fusion_gated,7,8,50
1.0,fusion_gated,7,9,30
1.0,fusion_gated,7,10,48
1.0,fusion_gated,7,11,30
0.5666666666666667,fusion_gated,7,12,30
1.0,fusion_gated,7,13,50
1.0,fusion_gated,7,14,50
0.7,fusion_gated,7,15,30
0.8,fusion_gated,7,16,50
0.3333333333333333,fusion_gated,7,17,45
1.0,fusion_gated,7,18,48
0.9,fusion_gated,7,19,20
1.0,fusion_gated,7,20,36
0.5595567867036011,fusion_gated,7,21,361
0.9210526315789473,fusion_gated,123,0,38
0.47058823529411764,fusion_gated,123,1,17
0.65,fusion_gated,123,2,20
0.9411764705882353,fusion_gated,123,3,17
0.8333333333333334,fusion_gated,123,4,6
0.8,fusion_gated,123,5,15
1.0,fusion_gated,123,6,50
1.0,fusion_gated,123,7,50
0.74,fusion_gated,123,8,50
0.9333333333333333,fusion_gated,123,9,30
1.0,fusion_gated,123,10,48
1.0,fusion_gated,123,11,30
0.6333333333333333,fusion_gated,123,12,30
0.94,fusion_gated,123,13,50
1.0,fusion_gated,123,14,50
1.0,fusion_gated,123,15,30
0.74,fusion_gated,123,16,50
0.6666666666666666,fusion_gated,123,17,45
1.0,fusion_gated,123,18,48
1.0,fusion_gated,123,19,20
1.0,fusion_gated,123,20,36
0.7423822714681441,fusion_gated,123,21,361
