accuracy,model,seed,fold,n_test
0.6052631578947368,fusion_xattn,42,0,38
0.8823529411764706,fusion_xattn,42,1,17
0.6,fusion_xattn,42,2,20
0.8235294117647058,fusion_xattn,42,3,17
0.8333333333333334,fusion_xattn,42,4,6
1.0,fusion_xattn,42,5,15
0.78,fusion_xattn,42,6,50
0.94,fusion_xattn,42,7,50
0.88,fusion_xattn,42,8,50
0.8666666666666667,fusion_xattn,42,9,30
0.9791666666666666,fusion_xattn,42,10,48
0.9666666666666667,fusion_xattn,42,11,30
1.0,fusion_xattn,42,12,30
1.0,fusion_xattn,42,13,50
1.0,fusion_xattn,42,14,50
1.0,fusion_xattn,42,15,30
1.0,fusion_xattn,42,16,50
0.5555555555555556,fusion_xattn,42,17,45
0.4791666666666667,fusion_xattn,42,18,48
1.0,fusion_xattn,42,19,20
0.6111111111111112,fusion_xattn,42,20,36
0.7285318559556787,fusion_xattn,42,21,361
0.868421052631579,fusion_xattn,7,0,38
0.7058823529411765,fusion_xattn,7,1,17
0.7,fusion_xattn,7,2,20
1.0,fusion_xattn,7,3,17
1.0,fusion_xattn,7,4,6
1.0,fusion_xattn,7,5,15
0.94,fusion_xattn,7,6,50
0.86,fusion_xattn,7,7,50
0.76,fusion_xattn,7,8,50
1.0,fusion_xattn,7,9,30
1.0,fusion_xattn,7,10,48
0.9333333333333333,fusion_xattn,7,11,30
1.0,fusion_xattn,7,12,30
1.0,fusion_xattn,7,13,50
1.0,fusion_xattn,7,14,50
1.0,fusion_xattn,7,15,30
0.98,fusion_xattn,7,16,50
0.8666666666666667,fusion_xattn,7,17,45
0.875,fusion_xattn,7,18,48
0.95,fusion_xattn,7,19,20
0.9166666666666666,fusion_xattn,7,20,36
0.7174515235457064,fusion_xattn,7,21,361
0.5789473684210527,fusion_xattn,123,0,38
0.47058823529411764,fusion_xattn,123,1,17
0.7,fusion_xattn,123,2,20
0.17647058823529413,fusion_xattn,123,3,17
1.0,fusion_xattn,123,4,6
1.0,fusion_xattn,123,5,15
0.24,fusion_xattn,123,6,50
0.88,fusion_xattn,123,7,50
0.92,fusion_xattn,123,8,50
0.9666666666666667,fusion_xattn,123,9,30
1.0,fusion_xattn,123,10,48
0.9666666666666667,fusion_xattn,123,11,30
1.0,fusion_xattn,123,12,30
0.96,fusion_xattn,123,13,50
0.98,fusion_xattn,123,14,50
1.0,fusion_xattn,123,15,30
1.0,fusion_xattn,123,16,50
0.6222222222222222,fusion_xattn,123,17,45
0.9791666666666666,fusion_xattn,123,18,48
0.95,fusion_xattn,123,19,20
1.0,fusion_xattn,123,20,36
0.7257617728531855,fusion_xattn,123,21,361
