accuracy,model,seed,fold,n_test
0.8157894736842105,knn,42,0,38
0.8823529411764706,knn,42,1,17
0.75,knn,42,2,20
0.5882352941176471,knn,42,3,17
0.8333333333333334,knn,42,4,6
0.8666666666666667,knn,42,5,15
0.7,knn,42,6,50
0.92,knn,42,7,50
0.78,knn,42,8,50
1.0,knn,42,9,30
0.8333333333333334,knn,42,10,48
0.9666666666666667,knn,42,11,30
0.9666666666666667,knn,42,12,30
0.94,knn,42,13,50
0.54,knn,42,14,50
0.8666666666666667,knn,42,15,30
0.98,knn,42,16,50
0.9333333333333333,knn,42,17,45
0.8333333333333334,knn,42,18,48
0.95,knn,42,19,20
0.8611111111111112,knn,42,20,36
0.45429362880886426,knn,42,21,361
0.8157894736842105,knn,7,0,38
0.8823529411764706,knn,7,1,17
0.75,knn,7,2,20
0.5882352941176471,knn,7,3,17
0.8333333333333334,knn,7,4,6
0.8666666666666667,knn,7,5,15
0.7,knn,7,6,50
0.92,knn,7,7,50
0.78,knn,7,8,50
1.0,knn,7,9,30
0.8333333333333334,knn,7,10,48
0.9666666666666667,knn,7,11,30
0.9666666666666667,knn,7,12,30
0.94,knn,7,13,50
0.54,knn,7,14,50
0.8666666666666667,knn,7,15,30
0.98,knn,7,16,50
0.9333333333333333,knn,7,17,45
0.8333333333333334,knn,7,18,48
0.95,knn,7,19,20
0.8611111111111112,knn,7,20,36
0.45429362880886426,knn,7,21,361
0.8157894736842105,knn,123,0,38
0.8823529411764706,knn,123,1,17
0.75,knn,123,2,20
0.5882352941176471,knn,123,3,17
0.8333333333333334,knn,123,4,6
0.8666666666666667,knn,123,5,15
0.7,knn,123,6,50
0.92,knn,123,7,50
0.78,knn,123,8,50
1.0,knn,123,9,30
0.8333333333333334,knn,123,10,48
0.9666666666666667,knn,123,11,30
0.9666666666666667,knn,123,12,30
0.94,knn,123,13,50
0.54,knn,123,14,50
0.8666666666666667,knn,123,15,30
0.98,knn,123,16,50
0.9333333333333333,knn,123,17,45
0.8333333333333334,knn,123,18,48
0.95,knn,123,19,20
0.8611111111111112,knn,123,20,36
0.45429362880886426,knn,123,21,361
