accuracy,model,seed,fold,n_test
0.7631578947368421,little2009,42,0,38
0.7647058823529411,little2009,42,1,17
0.4,little2009,42,2,20
0.8823529411764706,little2009,42,3,17
0.6666666666666666,little2009,42,4,6
0.8666666666666667,little2009,42,5,15
0.98,little2009,42,6,50
0.86,little2009,42,7,50
0.94,little2009,42,8,50
0.43333333333333335,little2009,42,9,30
0.8541666666666666,little2009,42,10,48
0.4666666666666667,little2009,42,11,30
1.0,little2009,42,12,30
0.88,little2009,42,13,50
0.86,little2009,42,14,50
0.9666666666666667,little2009,42,15,30
0.34,little2009,42,16,50
0.7555555555555555,little2009,42,17,45
0.9583333333333334,little2009,42,18,48
0.95,little2009,42,19,20
0.9722222222222222,little2009,42,20,36
0.5817174515235457,little2009,42,21,361
0.7631578947368421,little2009,7,0,38
0.7647058823529411,little2009,7,1,17
0.4,little2009,7,2,20
0.8823529411764706,little2009,7,3,17
0.6666666666666666,little2009,7,4,6
0.8666666666666667,little2009,7,5,15
0.98,little2009,7,6,50
0.88,little2009,7,7,50
0.96,little2009,7,8,50
0.43333333333333335,little2009,7,9,30
0.8541666666666666,little2009,7,10,48
0.4666666666666667,little2009,7,11,30
1.0,little2009,7,12,30
0.88,little2009,7,13,50
0.84,little2009,7,14,50
0.9666666666666667,little2009,7,15,30
0.34,little2009,7,16,50
0.7777777777777778,little2009,7,17,45
0.9583333333333334,little2009,7,18,48
0.95,little2009,7,19,20
0.9722222222222222,little2009,7,20,36
0.590027700831025,little2009,7,21,361
0.7631578947368421,little2009,123,0,38
0.7647058823529411,little2009,123,1,17
0.4,little2009,123,2,20
0.8823529411764706,little2009,123,3,17
0.6666666666666666,little2009,123,4,6
0.8666666666666667,little2009,123,5,15
0.98,little2009,123,6,50
0.88,little2009,123,7,50
0.96,little2009,123,8,50
0.43333333333333335,little2009,123,9,30
0.8541666666666666,little2009,123,10,48
0.43333333333333335,little2009,123,11,30
1.0,little2009,123,12,30
0.88,little2009,123,13,50
0.88,little2009,123,14,50
0.9666666666666667,little2009,123,15,30
0.34,little2009,123,16,50
0.7777777777777778,little2009,123,17,45
0.9583333333333334,little2009,123,18,48
0.95,little2009,123,19,20
0.9722222222222222,little2009,123,20,36
0.592797783933518,little2009,123,21,361
