accuracy,model,seed,fold,n_test
1.0,logreg,42,0,38
0.8823529411764706,logreg,42,1,17
0.8,logreg,42,2,20
0.8823529411764706,logreg,42,3,17
1.0,logreg,42,4,6
1.0,logreg,42,5,15
0.98,logreg,42,6,50
1.0,logreg,42,7,50
0.78,logreg,42,8,50
1.0,logreg,42,9,30
1.0,logreg,42,10,48
1.0,logreg,42,11,30
1.0,logreg,42,12,30
1.0,logreg,42,13,50
0.92,logreg,42,14,50
1.0,logreg,42,15,30
0.96,logreg,42,16,50
0.9333333333333333,logreg,42,17,45
0.9583333333333334,logreg,42,18,48
1.0,logreg,42,19,20
0.9444444444444444,logreg,42,20,36
0.9335180055401662,logreg,42,21,361
1.0,logreg,7,0,38
0.8823529411764706,logreg,7,1,17
0.8,logreg,7,2,20
0.8823529411764706,logreg,7,3,17
1.0,logreg,7,4,6
1.0,logreg,7,5,15
0.98,logreg,7,6,50
1.0,logreg,7,7,50
0.78,logreg,7,8,50
1.0,logreg,7,9,30
1.0,logreg,7,10,48
1.0,logreg,7,11,30
1.0,logreg,7,12,30
1.0,logreg,7,13,50
0.92,logreg,7,14,50
1.0,logreg,7,15,30
0.96,logreg,7,16,50
0.9333333333333333,logreg,7,17,45
0.9583333333333334,logreg,7,18,48
1.0,logreg,7,19,20
0.9444444444444444,logreg,7,20,36
0.9335180055401662,logreg,7,21,361
1.0,logreg,123,0,38
0.8823529411764706,logreg,123,1,17
0.8,logreg,123,2,20
0.8823529411764706,logreg,123,3,17
1.0,logreg,123,4,6
1.0,logreg,123,5,15
0.98,logreg,123,6,50
1.0,logreg,123,7,50
0.78,logreg,123,8,50
1.0,logreg,123,9,30
1.0,logreg,123,10,48
1.0,logreg,123,11,30
1.0,logreg,123,12,30
1.0,logreg,123,13,50
0.92,logreg,123,14,50
1.0,logreg,123,15,30
0.96,logreg,123,16,50
0.9333333333333333,logreg,123,17,45
0.9583333333333334,logreg,123,18,48
1.0,logreg,123,19,20
0.9444444444444444,logreg,123,20,36
0.9335180055401662,logreg,123,21,361
