accuracy,model,seed,fold,n_test
0.8157894736842105,mobilenetv2,42,0,38
1.0,mobilenetv2,42,1,17
0.95,mobilenetv2,42,2,20
1.0,mobilenetv2,42,3,17
1.0,mobilenetv2,42,4,6
1.0,mobilenetv2,42,5,15
0.98,mobilenetv2,42,6,50
0.96,mobilenetv2,42,7,50
0.96,mobilenetv2,42,8,50
0.9333333333333333,mobilenetv2,42,9,30
1.0,mobilenetv2,42,10,48
1.0,mobilenetv2,42,11,30
1.0,mobilenetv2,42,12,30
1.0,mobilenetv2,42,13,50
0.98,mobilenetv2,42,14,50
1.0,mobilenetv2,42,15,30
0.96,mobilenetv2,42,16,50
0.9777777777777777,mobilenetv2,42,17,45
1.0,mobilenetv2,42,18,48
1.0,mobilenetv2,42,19,20
0.5,mobilenetv2,42,20,36
0.8836565096952909,mobilenetv2,42,21,361
0.9210526315789473,mobilenetv2,7,0,38
1.0,mobilenetv2,7,1,17
0.95,mobilenetv2,7,2,20
1.0,mobilenetv2,7,3,17
1.0,mobilenetv2,7,4,6
1.0,mobilenetv2,7,5,15
0.98,mobilenetv2,7,6,50
0.9,mobilenetv2,7,7,50
0.96,mobilenetv2,7,8,50
0.9333333333333333,mobilenetv2,7,9,30
1.0,mobilenetv2,7,10,48
1.0,mobilenetv2,7,11,30
1.0,mobilenetv2,7,12,30
1.0,mobilenetv2,7,13,50
0.94,mobilenetv2,7,14,50
0.9666666666666667,mobilenetv2,7,15,30
0.88,mobilenetv2,7,16,50
0.9555555555555556,mobilenetv2,7,17,45
1.0,mobilenetv2,7,18,48
1.0,mobilenetv2,7,19,20
0.5555555555555556,mobilenetv2,7,20,36
0.9529085872576177,mobilenetv2,7,21,361
0.8157894736842105,mobilenetv2,123,0,38
1.0,mobilenetv2,123,1,17
1.0,mobilenetv2,123,2,20
1.0,mobilenetv2,123,3,17
1.0,mobilenetv2,123,4,6
0.9333333333333333,mobilenetv2,123,5,15
1.0,mobilenetv2,123,6,50
0.92,mobilenetv2,123,7,50
0.96,mobilenetv2,123,8,50
0.9333333333333333,mobilenetv2,123,9,30
0.9583333333333334,mobilenetv2,123,10,48
1.0,mobilenetv2,123,11,30
1.0,mobilenetv2,123,12,30
0.98,mobilenetv2,123,13,50
1.0,mobilenetv2,123,14,50
0.5333333333333333,mobilenetv2,123,15,30
1.0,mobilenetv2,123,16,50
0.9333333333333333,mobilenetv2,123,17,45
1.0,mobilenetv2,123,18,48
1.0,mobilenetv2,123,19,20
0.3888888888888889,mobilenetv2,123,20,36
0.853185595567867,mobilenetv2,123,21,361
