accuracy,model,seed,fold,n_test
0.9473684210526315,moro2019,42,0,38
0.7647058823529411,moro2019,42,1,17
0.75,moro2019,42,2,20
0.7647058823529411,moro2019,42,3,17
0.6666666666666666,moro2019,42,4,6
1.0,moro2019,42,5,15
0.96,moro2019,42,6,50
1.0,moro2019,42,7,50
0.74,moro2019,42,8,50
1.0,moro2019,42,9,30
0.7916666666666666,moro2019,42,10,48
1.0,moro2019,42,11,30
1.0,moro2019,42,12,30
0.92,moro2019,42,13,50
0.92,moro2019,42,14,50
0.9666666666666667,moro2019,42,15,30
0.02,moro2019,42,16,50
1.0,moro2019,42,17,45
0.7916666666666666,moro2019,42,18,48
1.0,moro2019,42,19,20
0.5833333333333334,moro2019,42,20,36
0.5872576177285319,moro2019,42,21,361
0.9473684210526315,moro2019,7,0,38
0.7647058823529411,moro2019,7,1,17
0.75,moro2019,7,2,20
0.7058823529411765,moro2019,7,3,17
0.8333333333333334,moro2019,7,4,6
1.0,moro2019,7,5,15
0.96,moro2019,7,6,50
1.0,moro2019,7,7,50
0.74,moro2019,7,8,50
1.0,moro2019,7,9,30
0.9583333333333334,moro2019,7,10,48
1.0,moro2019,7,11,30
1.0,moro2019,7,12,30
0.92,moro2019,7,13,50
0.92,moro2019,7,14,50
0.8,moro2019,7,15,30
0.02,moro2019,7,16,50
1.0,moro2019,7,17,45
0.6666666666666666,moro2019,7,18,48
0.95,moro2019,7,19,20
0.5833333333333334,moro2019,7,20,36
0.556786703601108,moro2019,7,21,361
0.9473684210526315,moro2019,123,0,38
0.7647058823529411,moro2019,123,1,17
0.8,moro2019,123,2,20
0.7647058823529411,moro2019,123,3,17
0.6666666666666666,moro2019,123,4,6
1.0,moro2019,123,5,15
0.96,moro2019,123,6,50
1.0,moro2019,123,7,50
0.74,moro2019,123,8,50
1.0,moro2019,123,9,30
0.9583333333333334,moro2019,123,10,48
1.0,moro2019,123,11,30
1.0,moro2019,123,12,30
0.92,moro2019,123,13,50
0.92,moro2019,123,14,50
0.9666666666666667,moro2019,123,15,30
0.02,moro2019,123,16,50
1.0,moro2019,123,17,45
0.6666666666666666,moro2019,123,18,48
0.95,moro2019,123,19,20
0.5833333333333334,moro2019,123,20,36
0.556786703601108,moro2019,123,21,361
