accuracy,model,seed,fold,n_test
0.8947368421052632,neurovoz2024,42,0,38
0.8235294117647058,neurovoz2024,42,1,17
0.9,neurovoz2024,42,2,20
0.47058823529411764,neurovoz2024,42,3,17
1.0,neurovoz2024,42,4,6
1.0,neurovoz2024,42,5,15
1.0,neurovoz2024,42,6,50
0.98,neurovoz2024,42,7,50
0.98,neurovoz2024,42,8,50
0.1,neurovoz2024,42,9,30
0.9791666666666666,neurovoz2024,42,10,48
1.0,neurovoz2024,42,11,30
1.0,neurovoz2024,42,12,30
1.0,neurovoz2024,42,13,50
1.0,neurovoz2024,42,14,50
1.0,neurovoz2024,42,15,30
1.0,neurovoz2024,42,16,50
1.0,neurovoz2024,42,17,45
0.5833333333333334,neurovoz2024,42,18,48
1.0,neurovoz2024,42,19,20
0.05555555555555555,neurovoz2024,42,20,36
0.6648199445983379,neurovoz2024,42,21,361
0.868421052631579,neurovoz2024,7,0,38
0.7647058823529411,neurovoz2024,7,1,17
0.95,neurovoz2024,7,2,20
1.0,neurovoz2024,7,3,17
0.16666666666666666,neurovoz2024,7,4,6
0.2,neurovoz2024,7,5,15
1.0,neurovoz2024,7,6,50
1.0,neurovoz2024,7,7,50
0.8,neurovoz2024,7,8,50
0.36666666666666664,neurovoz2024,7,9,30
0.4166666666666667,neurovoz2024,7,10,48
1.0,neurovoz2024,7,11,30
1.0,neurovoz2024,7,12,30
1.0,neurovoz2024,7,13,50
0.72,neurovoz2024,7,14,50
0.9666666666666667,neurovoz2024,7,15,30
0.94,neurovoz2024,7,16,50
0.4,neurovoz2024,7,17,45
1.0,neurovoz2024,7,18,48
1.0,neurovoz2024,7,19,20
0.9444444444444444,neurovoz2024,7,20,36
0.7008310249307479,neurovoz2024,7,21,361
0.9736842105263158,neurovoz2024,123,0,38
0.7058823529411765,neurovoz2024,123,1,17
0.75,neurovoz2024,123,2,20
0.8235294117647058,neurovoz2024,123,3,17
1.0,neurovoz2024,123,4,6
1.0,neurovoz2024,123,5,15
0.98,neurovoz2024,123,6,50
0.98,neurovoz2024,123,7,50
0.92,neurovoz2024,123,8,50
1.0,neurovoz2024,123,9,30
0.6875,neurovoz2024,123,10,48
1.0,neurovoz2024,123,11,30
1.0,neurovoz2024,123,12,30
1.0,neurovoz2024,123,13,50
1.0,neurovoz2024,123,14,50
0.8666666666666667,neurovoz2024,123,15,30
0.62,neurovoz2024,123,16,50
1.0,neurovoz2024,123,17,45
1.0,neurovoz2024,123,18,48
1.0,neurovoz2024,123,19,20
0.8888888888888888,neurovoz2024,123,20,36
0.11634349030470914,neurovoz2024,123,21,361
