accuracy,model,seed,fold,n_test
0.9736842105263158,random_forest,42,0,38
0.8823529411764706,random_forest,42,1,17
0.95,random_forest,42,2,20
0.7647058823529411,random_forest,42,3,17
1.0,random_forest,42,4,6
1.0,random_forest,42,5,15
0.76,random_forest,42,6,50
1.0,random_forest,42,7,50
0.74,random_forest,42,8,50
1.0,random_forest,42,9,30
0.8958333333333334,random_forest,42,10,48
1.0,random_forest,42,11,30
1.0,random_forest,42,12,30
0.98,random_forest,42,13,50
0.7,random_forest,42,14,50
0.9666666666666667,random_forest,42,15,30
1.0,random_forest,42,16,50
1.0,random_forest,42,17,45
0.9166666666666666,random_forest,42,18,48
1.0,random_forest,42,19,20
0.7777777777777778,random_forest,42,20,36
0.7534626038781164,random_forest,42,21,361
0.9736842105263158,random_forest,7,0,38
0.8823529411764706,random_forest,7,1,17
0.95,random_forest,7,2,20
0.7647058823529411,random_forest,7,3,17
1.0,random_forest,7,4,6
0.9333333333333333,random_forest,7,5,15
0.76,random_forest,7,6,50
1.0,random_forest,7,7,50
0.78,random_forest,7,8,50
1.0,random_forest,7,9,30
0.8958333333333334,random_forest,7,10,48
1.0,random_forest,7,11,30
1.0,random_forest,7,12,30
0.98,random_forest,7,13,50
0.66,random_forest,7,14,50
0.9666666666666667,random_forest,7,15,30
1.0,random_forest,7,16,50
1.0,random_forest,7,17,45
0.9166666666666666,random_forest,7,18,48
1.0,random_forest,7,19,20
0.7777777777777778,random_forest,7,20,36
0.7479224376731302,random_forest,7,21,361
1.0,random_forest,123,0,38
0.8823529411764706,random_forest,123,1,17
0.95,random_forest,123,2,20
0.7647058823529411,random_forest,123,3,17
1.0,random_forest,123,4,6
1.0,random_forest,123,5,15
0.74,random_forest,123,6,50
1.0,random_forest,123,7,50
0.76,random_forest,123,8,50
1.0,random_forest,123,9,30
0.8958333333333334,random_forest,123,10,48
1.0,random_forest,123,11,30
1.0,random_forest,123,12,30
0.98,random_forest,123,13,50
0.68,random_forest,123,14,50
0.9666666666666667,random_forest,123,15,30
0.94,random_forest,123,16,50
1.0,random_forest,123,17,45
0.8958333333333334,random_forest,123,18,48
1.0,random_forest,123,19,20
0.7777777777777778,random_forest,123,20,36
0.7562326869806094,random_forest,123,21,361
