accuracy,model,seed,fold,n_test
0.7894736842105263,resnet18,42,0,38
0.8823529411764706,resnet18,42,1,17
1.0,resnet18,42,2,20
1.0,resnet18,42,3,17
0.8333333333333334,resnet18,42,4,6
1.0,resnet18,42,5,15
0.98,resnet18,42,6,50
1.0,resnet18,42,7,50
0.96,resnet18,42,8,50
0.8666666666666667,resnet18,42,9,30
0.8958333333333334,resnet18,42,10,48
1.0,resnet18,42,11,30
1.0,resnet18,42,12,30
1.0,resnet18,42,13,50
1.0,resnet18,42,14,50
0.9,resnet18,42,15,30
0.7,resnet18,42,16,50
0.9777777777777777,resnet18,42,17,45
0.9791666666666666,resnet18,42,18,48
0.95,resnet18,42,19,20
0.8333333333333334,resnet18,42,20,36
0.7340720221606648,resnet18,42,21,361
0.8421052631578947,resnet18,7,0,38
1.0,resnet18,7,1,17
0.95,resnet18,7,2,20
1.0,resnet18,7,3,17
0.6666666666666666,resnet18,7,4,6
0.9333333333333333,resnet18,7,5,15
1.0,resnet18,7,6,50
1.0,resnet18,7,7,50
1.0,resnet18,7,8,50
0.8666666666666667,resnet18,7,9,30
0.8958333333333334,resnet18,7,10,48
1.0,resnet18,7,11,30
1.0,resnet18,7,12,30
1.0,resnet18,7,13,50
1.0,resnet18,7,14,50
0.7666666666666667,resnet18,7,15,30
0.74,resnet18,7,16,50
0.9777777777777777,resnet18,7,17,45
0.9375,resnet18,7,18,48
1.0,resnet18,7,19,20
0.75,resnet18,7,20,36
0.7340720221606648,resnet18,7,21,361
0.9736842105263158,resnet18,123,0,38
1.0,resnet18,123,1,17
1.0,resnet18,123,2,20
0.9411764705882353,resnet18,123,3,17
1.0,resnet18,123,4,6
1.0,resnet18,123,5,15
1.0,resnet18,123,6,50
1.0,resnet18,123,7,50
0.94,resnet18,123,8,50
0.9333333333333333,resnet18,123,9,30
0.9166666666666666,resnet18,123,10,48
1.0,resnet18,123,11,30
1.0,resnet18,123,12,30
1.0,resnet18,123,13,50
1.0,resnet18,123,14,50
0.9,resnet18,123,15,30
0.92,resnet18,123,16,50
0.9777777777777777,resnet18,123,17,45
0.9791666666666666,resnet18,123,18,48
1.0,resnet18,123,19,20
0.8333333333333334,resnet18,123,20,36
0.6648199445983379,resnet18,123,21,361
