accuracy,model,seed,fold,n_test
1.0,svm_rbf,42,0,38
1.0,svm_rbf,42,1,17
0.85,svm_rbf,42,2,20
0.8823529411764706,svm_rbf,42,3,17
1.0,svm_rbf,42,4,6
0.8666666666666667,svm_rbf,42,5,15
0.92,svm_rbf,42,6,50
1.0,svm_rbf,42,7,50
0.74,svm_rbf,42,8,50
0.9666666666666667,svm_rbf,42,9,30
1.0,svm_rbf,42,10,48
0.9666666666666667,svm_rbf,42,11,30
0.9666666666666667,svm_rbf,42,12,30
1.0,svm_rbf,42,13,50
0.84,svm_rbf,42,14,50
1.0,svm_rbf,42,15,30
0.98,svm_rbf,42,16,50
0.9333333333333333,svm_rbf,42,17,45
0.8958333333333334,svm_rbf,42,18,48
1.0,svm_rbf,42,19,20
0.8888888888888888,svm_rbf,42,20,36
0.7423822714681441,svm_rbf,42,21,361
1.0,svm_rbf,7,0,38
1.0,svm_rbf,7,1,17
0.85,svm_rbf,7,2,20
0.8823529411764706,svm_rbf,7,3,17
1.0,svm_rbf,7,4,6
0.8666666666666667,svm_rbf,7,5,15
0.92,svm_rbf,7,6,50
1.0,svm_rbf,7,7,50
0.74,svm_rbf,7,8,50
0.9666666666666667,svm_rbf,7,9,30
1.0,svm_rbf,7,10,48
0.9666666666666667,svm_rbf,7,11,30
0.9666666666666667,svm_rbf,7,12,30
0.98,svm_rbf,7,13,50
0.84,svm_rbf,7,14,50
1.0,svm_rbf,7,15,30
0.98,svm_rbf,7,16,50
0.9333333333333333,svm_rbf,7,17,45
0.8958333333333334,svm_rbf,7,18,48
1.0,svm_rbf,7,19,20
0.8888888888888888,svm_rbf,7,20,36
0.7617728531855956,svm_rbf,7,21,361
1.0,svm_rbf,123,0,38
1.0,svm_rbf,123,1,17
0.85,svm_rbf,123,2,20
0.8823529411764706,svm_rbf,123,3,17
1.0,svm_rbf,123,4,6
0.8666666666666667,svm_rbf,123,5,15
0.92,svm_rbf,123,6,50
1.0,svm_rbf,123,7,50
0.74,svm_rbf,123,8,50
0.9666666666666667,svm_rbf,123,9,30
1.0,svm_rbf,123,10,48
0.9666666666666667,svm_rbf,123,11,30
0.9666666666666667,svm_rbf,123,12,30
0.98,svm_rbf,123,13,50
0.84,svm_rbf,123,14,50
1.0,svm_rbf,123,15,30
0.98,svm_rbf,123,16,50
0.9333333333333333,svm_rbf,123,17,45
0.8958333333333334,svm_rbf,123,18,48
1.0,svm_rbf,123,19,20
0.8888888888888888,svm_rbf,123,20,36
0.7479224376731302,svm_rbf,123,21,361
