accuracy,model,seed,fold,n_test
0.8157894736842105,tsanas2012,42,0,38
0.7647058823529411,tsanas2012,42,1,17
0.7,tsanas2012,42,2,20
0.8823529411764706,tsanas2012,42,3,17
0.6666666666666666,tsanas2012,42,4,6
0.8666666666666667,tsanas2012,42,5,15
0.94,tsanas2012,42,6,50
0.88,tsanas2012,42,7,50
0.86,tsanas2012,42,8,50
0.5666666666666667,tsanas2012,42,9,30
0.7291666666666666,tsanas2012,42,10,48
0.5333333333333333,tsanas2012,42,11,30
0.9666666666666667,tsanas2012,42,12,30
0.8,tsanas2012,42,13,50
0.84,tsanas2012,42,14,50
1.0,tsanas2012,42,15,30
0.54,tsanas2012,42,16,50
0.7777777777777778,tsanas2012,42,17,45
0.9166666666666666,tsanas2012,42,18,48
0.9,tsanas2012,42,19,20
0.8611111111111112,tsanas2012,42,20,36
0.5734072022160664,tsanas2012,42,21,361
0.8157894736842105,tsanas2012,7,0,38
0.7647058823529411,tsanas2012,7,1,17
0.7,tsanas2012,7,2,20
0.8823529411764706,tsanas2012,7,3,17
0.6666666666666666,tsanas2012,7,4,6
0.9333333333333333,tsanas2012,7,5,15
0.92,tsanas2012,7,6,50
0.88,tsanas2012,7,7,50
0.86,tsanas2012,7,8,50
0.5666666666666667,tsanas2012,7,9,30
0.7291666666666666,tsanas2012,7,10,48
0.5333333333333333,tsanas2012,7,11,30
0.9666666666666667,tsanas2012,7,12,30
0.84,tsanas2012,7,13,50
0.84,tsanas2012,7,14,50
1.0,tsanas2012,7,15,30
0.54,tsanas2012,7,16,50
0.7777777777777778,tsanas2012,7,17,45
0.9166666666666666,tsanas2012,7,18,48
0.95,tsanas2012,7,19,20
0.8333333333333334,tsanas2012,7,20,36
0.5650969529085873,tsanas2012,7,21,361
0.8157894736842105,tsanas2012,123,0,38
0.7647058823529411,tsanas2012,123,1,17
0.7,tsanas2012,123,2,20
0.8823529411764706,tsanas2012,123,3,17
0.6666666666666666,tsanas2012,123,4,6
0.9333333333333333,tsanas2012,123,5,15
0.94,tsanas2012,123,6,50
0.88,tsanas2012,123,7,50
0.86,tsanas2012,123,8,50
0.6,tsanas2012,123,9,30
0.75,tsanas2012,123,10,48
0.5333333333333333,tsanas2012,123,11,30
0.9666666666666667,tsanas2012,123,12,30
0.82,tsanas2012,123,13,50
0.8,tsanas2012,123,14,50
1.0,tsanas2012,123,15,30
0.54,tsanas2012,123,16,50
0.7777777777777778,tsanas2012,123,17,45
0.8958333333333334,tsanas2012,123,18,48
0.95,tsanas2012,123,19,20
0.8333333333333334,tsanas2012,123,20,36
0.5650969529085873,tsanas2012,123,21,361
