accuracy,model,seed,fold,n_test
0.9473684210526315,vasquez2018,42,0,38
0.9411764705882353,vasquez2018,42,1,17
0.9,vasquez2018,42,2,20
1.0,vasquez2018,42,3,17
1.0,vasquez2018,42,4,6
0.8,vasquez2018,42,5,15
0.96,vasquez2018,42,6,50
1.0,vasquez2018,42,7,50
0.84,vasquez2018,42,8,50
1.0,vasquez2018,42,9,30
1.0,vasquez2018,42,10,48
1.0,vasquez2018,42,11,30
1.0,vasquez2018,42,12,30
0.98,vasquez2018,42,13,50
0.8,vasquez2018,42,14,50
0.9666666666666667,vasquez2018,42,15,30
0.88,vasquez2018,42,16,50
0.9555555555555556,vasquez2018,42,17,45
1.0,vasquez2018,42,18,48
1.0,vasquez2018,42,19,20
0.9166666666666666,vasquez2018,42,20,36
0.7063711911357341,vasquez2018,42,21,361
0.9736842105263158,vasquez2018,7,0,38
0.9411764705882353,vasquez2018,7,1,17
0.9,vasquez2018,7,2,20
0.8823529411764706,vasquez2018,7,3,17
1.0,vasquez2018,7,4,6
0.8,vasquez2018,7,5,15
0.96,vasquez2018,7,6,50
1.0,vasquez2018,7,7,50
0.84,vasquez2018,7,8,50
1.0,vasquez2018,7,9,30
1.0,vasquez2018,7,10,48
1.0,vasquez2018,7,11,30
1.0,vasquez2018,7,12,30
0.98,vasquez2018,7,13,50
0.78,vasquez2018,7,14,50
0.9666666666666667,vasquez2018,7,15,30
0.7,vasquez2018,7,16,50
0.9555555555555556,vasquez2018,7,17,45
1.0,vasquez2018,7,18,48
1.0,vasquez2018,7,19,20
0.9444444444444444,vasquez2018,7,20,36
0.817174515235457,vasquez2018,7,21,361
0.868421052631579,vasquez2018,123,0,38
0.9411764705882353,vasquez2018,123,1,17
0.9,vasquez2018,123,2,20
0.9411764705882353,vasquez2018,123,3,17
0.8333333333333334,vasquez2018,123,4,6
0.7333333333333333,vasquez2018,123,5,15
0.96,vasquez2018,123,6,50
1.0,vasquez2018,123,7,50
0.84,vasquez2018,123,8,50
1.0,vasquez2018,123,9,30
1.0,vasquez2018,123,10,48
1.0,vasquez2018,123,11,30
1.0,vasquez2018,123,12,30
0.98,vasquez2018,123,13,50
0.76,vasquez2018,123,14,50
0.9,vasquez2018,123,15,30
0.82,vasquez2018,123,16,50
0.9777777777777777,vasquez2018,123,17,45
0.9791666666666666,vasquez2018,123,18,48
1.0,vasquez2018,123,19,20
0.9166666666666666,vasquez2018,123,20,36
0.739612188365651,vasquez2018,123,21,361
