accuracy,model,seed,fold,n_test
0.7368421052631579,wav2vec2,42,0,38
1.0,wav2vec2,42,1,17
0.85,wav2vec2,42,2,20
0.17647058823529413,wav2vec2,42,3,17
1.0,wav2vec2,42,4,6
0.7333333333333333,wav2vec2,42,5,15
0.74,wav2vec2,42,6,50
0.92,wav2vec2,42,7,50
0.72,wav2vec2,42,8,50
0.9666666666666667,wav2vec2,42,9,30
0.9791666666666666,wav2vec2,42,10,48
0.7666666666666667,wav2vec2,42,11,30
0.9,wav2vec2,42,12,30
0.8,wav2vec2,42,13,50
0.92,wav2vec2,42,14,50
0.7666666666666667,wav2vec2,42,15,30
1.0,wav2vec2,42,16,50
0.6888888888888889,wav2vec2,42,17,45
0.9583333333333334,wav2vec2,42,18,48
0.9,wav2vec2,42,19,20
1.0,wav2vec2,42,20,36
0.4903047091412742,wav2vec2,42,21,361
0.7105263157894737,wav2vec2,7,0,38
1.0,wav2vec2,7,1,17
0.9,wav2vec2,7,2,20
0.5882352941176471,wav2vec2,7,3,17
1.0,wav2vec2,7,4,6
0.8,wav2vec2,7,5,15
0.76,wav2vec2,7,6,50
0.74,wav2vec2,7,7,50
0.76,wav2vec2,7,8,50
0.9666666666666667,wav2vec2,7,9,30
0.9375,wav2vec2,7,10,48
1.0,wav2vec2,7,11,30
0.9666666666666667,wav2vec2,7,12,30
0.6,wav2vec2,7,13,50
0.76,wav2vec2,7,14,50
0.9,wav2vec2,7,15,30
0.94,wav2vec2,7,16,50
0.6888888888888889,wav2vec2,7,17,45
0.9791666666666666,wav2vec2,7,18,48
1.0,wav2vec2,7,19,20
1.0,wav2vec2,7,20,36
0.7894736842105263,wav2vec2,7,21,361
0.868421052631579,wav2vec2,123,0,38
1.0,wav2vec2,123,1,17
0.9,wav2vec2,123,2,20
0.29411764705882354,wav2vec2,123,3,17
1.0,wav2vec2,123,4,6
0.8666666666666667,wav2vec2,123,5,15
0.68,wav2vec2,123,6,50
0.7,wav2vec2,123,7,50
0.7,wav2vec2,123,8,50
0.9666666666666667,wav2vec2,123,9,30
0.8958333333333334,wav2vec2,123,10,48
0.9666666666666667,wav2vec2,123,11,30
0.8666666666666667,wav2vec2,123,12,30
0.64,wav2vec2,123,13,50
0.96,wav2vec2,123,14,50
0.9666666666666667,wav2vec2,123,15,30
0.98,wav2vec2,123,16,50
0.6222222222222222,wav2vec2,123,17,45
0.9791666666666666,wav2vec2,123,18,48
0.95,wav2vec2,123,19,20
1.0,wav2vec2,123,20,36
0.6703601108033241,wav2vec2,123,21,361
