accuracy,model,seed,fold,n_test
1.0,xgboost,42,0,38
1.0,xgboost,42,1,17
0.95,xgboost,42,2,20
0.9411764705882353,xgboost,42,3,17
1.0,xgboost,42,4,6
0.8666666666666667,xgboost,42,5,15
0.96,xgboost,42,6,50
1.0,xgboost,42,7,50
0.68,xgboost,42,8,50
1.0,xgboost,42,9,30
0.9583333333333334,xgboost,42,10,48
1.0,xgboost,42,11,30
1.0,xgboost,42,12,30
0.98,xgboost,42,13,50
0.64,xgboost,42,14,50
0.8666666666666667,xgboost,42,15,30
0.94,xgboost,42,16,50
0.9777777777777777,xgboost,42,17,45
0.9375,xgboost,42,18,48
1.0,xgboost,42,19,20
0.7777777777777778,xgboost,42,20,36
0.7257617728531855,xgboost,42,21,361
1.0,xgboost,7,0,38
0.8823529411764706,xgboost,7,1,17
0.95,xgboost,7,2,20
0.8235294117647058,xgboost,7,3,17
1.0,xgboost,7,4,6
0.9333333333333333,xgboost,7,5,15
0.94,xgboost,7,6,50
1.0,xgboost,7,7,50
0.68,xgboost,7,8,50
0.9666666666666667,xgboost,7,9,30
0.9791666666666666,xgboost,7,10,48
1.0,xgboost,7,11,30
1.0,xgboost,7,12,30
0.96,xgboost,7,13,50
0.64,xgboost,7,14,50
0.8666666666666667,xgboost,7,15,30
0.92,xgboost,7,16,50
1.0,xgboost,7,17,45
0.9375,xgboost,7,18,48
1.0,xgboost,7,19,20
0.8055555555555556,xgboost,7,20,36
0.7340720221606648,xgboost,7,21,361
0.9736842105263158,xgboost,123,0,38
0.9411764705882353,xgboost,123,1,17
0.95,xgboost,123,2,20
0.9411764705882353,xgboost,123,3,17
1.0,xgboost,123,4,6
0.9333333333333333,xgboost,123,5,15
0.94,xgboost,123,6,50
1.0,xgboost,123,7,50
0.68,xgboost,123,8,50
1.0,xgboost,123,9,30
0.9791666666666666,xgboost,123,10,48
1.0,xgboost,123,11,30
1.0,xgboost,123,12,30
0.96,xgboost,123,13,50
0.64,xgboost,123,14,50
0.8666666666666667,xgboost,123,15,30
0.92,xgboost,123,16,50
1.0,xgboost,123,17,45
0.9375,xgboost,123,18,48
1.0,xgboost,123,19,20
0.8055555555555556,xgboost,123,20,36
0.7285318559556787,xgboost,123,21,361
