model_a,model_b,b,c,statistic,p_value,p_holm,significant_holm
fusion_concat,fusion_gated,192,50,82.15289256198348,1.2595639644305337e-19,1.1839901265647017e-17,True
fusion_concat,fusion_xattn,86,58,5.0625,0.024448945310089332,0.7090194139925906,False
fusion_concat,knn,241,63,103.05592105263158,3.258203094191079e-24,3.3233671560749004e-22,True
fusion_concat,little2009,246,87,74.96696696696696,4.7865595557963854e-18,4.164306813542855e-16,True
fusion_concat,logreg,37,111,36.00675675675676,1.966344944739692e-09,1.1208166185016245e-07,True
fusion_concat,mobilenetv2,47,119,30.367469879518072,3.5747294152374216e-08,1.930353884228208e-06,True
fusion_concat,moro2019,234,76,79.51290322580645,4.790862431621419e-19,4.3596848127754914e-17,True
fusion_concat,neurovoz2024,195,87,40.59929078014184,1.868744794335008e-10,1.139934324544355e-08,True
fusion_concat,random_forest,116,90,3.033980582524272,0.08153775173393638,1.0,False
fusion_concat,resnet18,118,101,1.1689497716894977,0.2796171392535704,1.0,False
fusion_concat,svm_rbf,98,95,0.02072538860103627,0.885529568375913,1.0,False
fusion_concat,tsanas2012,256,92,76.34770114942529,2.3786814350404946e-18,2.0932396628356353e-16,True
fusion_concat,vasquez2018,80,94,0.9712643678160919,0.32436505154715933,1.0,False
fusion_concat,wav2vec2,144,81,17.084444444444443,3.5753959402488045e-05,0.001573174213709474,True
fusion_concat,xgboost,122,91,4.225352112676056,0.03982435536481084,1.0,False
fusion_gated,fusion_xattn,49,163,60.2311320754717,8.434750436916415e-15,6.494757836425639e-13,True
fusion_gated,knn,180,144,3.7808641975308643,0.05184187871568603,1.0,False
fusion_gated,little2009,195,178,0.6863270777479893,0.4074164944585835,1.0,False
fusion_gated,logreg,33,249,163.91843971631207,1.57608275736896e-37,1.7652126882532352e-35,True
fusion_gated,mobilenetv2,35,249,159.75,1.2831297782379857e-36,1.4242740538441641e-34,True
fusion_gated,moro2019,173,157,0.6818181818181818,0.4089613420368744,1.0,False
fusion_gated,neurovoz2024,143,177,3.403125,0.06507302877538931,1.0,False
fusion_gated,random_forest,85,201,46.24125874125874,1.0455196011801471e-11,6.586773487434926e-10,True
fusion_gated,resnet18,72,197,57.15985130111524,4.017902097935488e-14,3.053605594430971e-12,True
fusion_gated,svm_rbf,73,212,66.82105263157895,2.973060364529903e-16,2.4379094989145203e-14,True
fusion_gated,tsanas2012,206,184,1.1307692307692307,0.28761132005648493,1.0,False
fusion_gated,vasquez2018,60,216,87.04710144927536,1.059672285518058e-20,1.0172853940973357e-18,True
fusion_gated,wav2vec2,108,187,20.62372881355932,5.5898973031796655e-06,0.0002571352759462646,True
