model,feature_group,n_utt,cv,seeds,fold_accuracy_mean,fold_accuracy_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,auc_mean,auc_std,subj_accuracy_mean,subj_accuracy_std,subj_sensitivity_mean,subj_sensitivity_std,subj_specificity_mean,subj_specificity_std,subj_precision_mean,subj_precision_std,subj_f1_mean,subj_f1_std,subj_auc_mean,subj_auc_std
svm_rbf,tabular,1091,loso,"[42, 7, 123]",0.9288379250382264,0.0786740247360689,0.8750381912618392,0.0018834139941854,0.8212226066897347,0.003555025376568,0.935672514619883,0.0,0.9349956510241112,0.0002633658537028,0.8744202829890012,0.0021313161687553,0.9454657565353856,0.0013609051600763,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
random_forest,tabular,1091,loso,"[42, 7, 123]",0.9096893326288796,0.1061990898063504,0.8567063855789797,0.0008641696073162,0.8137254901960785,0.0021578185621533,0.9051332033788174,0.0033132030627633,0.9062444139536202,0.0027726632932776,0.8574902848800802,0.0007482463316293,0.9247882618246244,0.0015056018532788,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
xgboost,tabular,1091,loso,"[42, 7, 123]",0.9154135599929556,0.1070741601109068,0.8521234341582646,0.0004320848036581,0.8039215686274511,0.0008155787556938,0.9064327485380116,0.0015916112688649,0.90637516420145,0.0013699609214382,0.8520784196561215,0.0003236067462091,0.9291635470837804,0.0006391084986139,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logreg,tabular,1091,loso,"[42, 7, 123]",0.9533788635911008,0.0640847534960877,0.9477543538038496,0.0,0.9377162629757786,0.0,0.9590643274853802,1.1102230246251563e-16,0.9626998223801064,0.0,0.9500438212094654,0.0,0.9891000087685574,1.1102230246251563e-16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
knn,tabular,1091,loso,"[42, 7, 123]",0.8300810204044684,0.1430466440531936,0.7167736021998167,0.0,0.5934256055363322,0.0,0.8557504873294347,0.0,0.8225419664268584,1.1102230246251563e-16,0.6894472361809045,0.0,0.8081507112648983,1.1102230246251563e-16,0.9545454545454546,0.0,0.9,0.0,1.0,0.0,1.0,0.0,0.9473684210526316,1.1102230246251563e-16,1.0,0.0
little2009,dysphonia,1091,loso,"[42, 7, 123]",0.7808657202353226,0.2038312715876883,0.7323556370302474,0.0039601226388071,0.6891580161476355,0.0053481075521889,0.7810266406757634,0.0024312263721727,0.7800145587270341,0.0032282664482404,0.731774432448567,0.0044308042025677,0.8280069968590578,0.0026377637106692,0.8181818181818182,0.0,0.9,0.0,0.75,0.0,0.75,0.0,0.8181818181818182,0.0,0.9638888888888888,0.0039283710065919
tsanas2012,dysphonia,1091,loso,"[42, 7, 123]",0.7929912693553316,0.1389985942300379,0.7286892758936755,0.0019800613194035,0.6747404844290658,0.0042378715273065,0.7894736842105262,0.0015916112688649,0.7831316524038594,0.0011944453290687,0.7249004016044914,0.0026711447354485,0.8192423741655818,0.0020237119741091,0.9848484848484848,0.0214274782177741,1.0,0.0,0.9722222222222222,0.0392837100659193,0.9696969696969696,0.0428549564355483,0.9841269841269842,0.0224478343233824,1.0,0.0
vasquez2018,disvoice,1091,loso,"[42, 7, 123]",0.9261442990274258,0.0856754944013027,0.8741216009776963,0.0131838979592981,0.823529411764706,0.0307874228720625,0.9311241065627032,0.0080109343768277,0.9310833009453452,0.0056014597377391,0.8736312096803682,0.0154240290618487,0.9570835328742208,0.0068026466124721,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
moro2019,mfcc_seq,1091,loso,"[42, 7, 123]",0.8247830513049675,0.2246665984143797,0.7415215398716773,0.0056502419825563,0.649365628604383,0.0142900942253331,0.8453541260558803,0.0064324203616709,0.8255637367000203,0.0042192340984492,0.7268367116685015,0.0085076424013009,0.7984884356219268,0.0051676370674148,0.9545454545454546,0.0,1.0,0.0,0.9166666666666666,0.0,0.9090909090909092,0.0,0.9523809523809522,1.1102230246251563e-16,0.9166666666666666,0.0
wav2vec2,wav2vec2_emb,1091,loso,"[42, 7, 123]",0.8374836086957237,0.1694064278216017,0.7772685609532539,0.0386782275321211,0.7341407151095732,0.0852543163630912,0.8258609486679663,0.0157024639033067,0.8255745017758748,0.0071793852209763,0.7747596986577497,0.0511640704375978,0.8542047480613619,0.037487061396303,0.9545454545454546,0.0371134809512602,0.9,0.0816496580927725,1.0,0.0,1.0,0.0,0.94541910331384,0.0453818585841045,0.9722222222222222,0.0196418550329596
fusion_concat,multi,1091,loso,"[42, 7, 123]",0.8774982347509642,0.1827422255504498,0.8392911701802629,0.0457091810590358,0.7329873125720877,0.0795387928610655,0.9590643274853802,0.0130278997113472,0.9516062496567,0.0185878242237547,0.8262308097013277,0.0570790926799659,0.9525340006430276,0.0198490462626245,0.9545454545454546,0.0642824346533224,0.9,0.1414213562373095,1.0,0.0,1.0,0.0,0.9411764705882352,0.0831890330807703,0.9944444444444444,0.0078567420131838
fusion_xattn,multi,1091,loso,"[42, 7, 123]",0.8594129669131706,0.18728290254022,0.8206538344026887,0.0238117540707592,0.7462514417531718,0.0268522415843663,0.9044834307992202,0.0313106791505048,0.8985573410841771,0.0306240945826622,0.8150750507691017,0.0246681364983755,0.919873935126166,0.0220061212140409,0.9393939393939394,0.0566917785874839,0.9,0.0816496580927725,0.9722222222222222,0.0392837100659193,0.9629629629629628,0.0523782800878924,0.9298245614035088,0.0656431120486656,0.9861111111111112,0.0141639430933132
fusion_gated,multi,1091,loso,"[42, 7, 123]",0.8261399839742272,0.2041615147953825,0.7763519706691109,0.0455905778751453,0.7133794694348329,0.0595540052753198,0.8473034437946718,0.0304631791286056,0.838981780842246,0.0367761172147034,0.7707888154418621,0.0499637540560375,0.8886089695596161,0.0349928476112445,0.9393939393939394,0.0566917785874839,0.9666666666666668,0.0471404520791031,0.9166666666666666,0.0680413817439771,0.9090909090909092,0.0742269619025205,0.9365079365079364,0.0593913870916498,0.977777777777778,0.0207869854820774
resnet18,resnet18_emb,1091,loso,"[42, 7, 123]",0.9291301498774612,0.094938120605957,0.8652612282309807,0.0007483928331143,0.7906574394463668,0.0112123541494945,0.949317738791423,0.0124308813968219,0.9464877779939628,0.0120038705231543,0.8614298646025335,0.0019373755003153,0.9619860557455407,0.0038714646700865,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
mobilenetv2,mobilenetv2_emb,1091,loso,"[42, 7, 123]",0.9394721219582716,0.12215938596526,0.923923006416132,0.0196301599807015,0.8915801614763552,0.0331390032262021,0.9603638726445743,0.0137223600272533,0.9620910315963308,0.0132627735206088,0.9251966678854986,0.0201544528042076,0.9767835582805534,0.0104302385556107,0.9696969696969696,0.0214274782177741,0.9333333333333332,0.0471404520791031,1.0,0.0,1.0,0.0,0.9649122807017544,0.0248107642521595,0.9972222222222222,0.0039283710065919
neurovoz2024,melspec,1091,loso,"[42, 7, 123]",0.8325650618399517,0.25934557111760925,0.7424381301558203,0.06508866738700878,0.6153402537485583,0.14574919491516786,0.8856400259909032,0.06075981664749037,0.8618265248646034,0.04854852836673946,0.7069141000186506,0.10503534324237836,0.8860784538560292,0.034191679001518885,0.8636363636363636,0.07422696190252057,0.8333333333333334,0.04714045207910316,0.8888888888888888,0.10393492741038726,0.872053872053872,0.11197501109977029,0.8504594820384295,0.07594531781028245,0.9611111111111111,0.015713484026367772
